FL	Dispersion_m/day
345	3031.818182
427	1359.411765
270	1355.932203
285	982.2222222
294	860
400	766.5
440	766.5
229	660.5527638
326	655.0724638
389	641.2121212
287	611.1111111
329	595.4054054
272	586.9565217
310	572.3311547
352.425	568.6192469
395	548.5542169
267	513.1004367
270	472.2662441
387	470.8333333
279	440
403	434.7826087
350	433.6416185
280	420.1773836
346	407.6233184
310	404.2929293
326	383.248731
314.325	378.6666667
366	377.4193548
385	377.4193548
241	375
333.375	374.9303621
425.45	371.0810811
323.85	368.3229814
342.9	358.5561497
242	357.25
297	338.170347
434.975	335.9036145
315	328.5302594
290	327.9411765
304	327.8921569
342.9	325.3164557
305	320.2150538
268	313.6094675
328	312.0464441
358	309.4202899
510	303.0714893
372	299.6261682
365	295.0850662
275	284.4504021
525	258.5365854
204	255.3435115
372	247.706422
315	247.2564103
277	244.3181818
265	232.972973
343	228.9171975
352.425	227.3913043
462	224.0909091
272	214.1414141
420	208.9057751
278	205.7010786
520.7	200.5405405
335	193.8538996
327	192.9824561
446	189.4659839
306	188.7366819
358	188.4693878
426	184.1643228
279.4	172.6923077
357	169.4214876
359	168.7850467
335	167.9051383
394	162.6598537
396	162.3076923
442	162.0134228
307.975	161.2572534
302	161.130742
243	157.5301205
251	155.1724138
331	154.8034934
575	154.676259
352	153.5036496
335	151.1680328
322	148.4245439
376	147.9591837
300	143.8721137
300	141.7433414
317	138.8888889
387	137.8227848
385	137.7499747
400	135.483871
355.6	132.8623188
369	129.3706294
288.925	128.392555
386	126.6535433
271	125.4448399
289	124.1176471
439	121.3425129
390	116.6169154
292	114.7245763
442	110.2274459
283	108.045977
318	106.9395018
343	106.875
292	106.1221591
400	102.2550692
445	101.5873016
410	100.3614458
255	99.29947461
323	98.352
374	97.13414634
397	96.15384615
370	94.87179487
361	89.15708812
245	87.70588235
396	86.91943128
252	83.33333333
377.825	82.77978339
400	78.47533632
422	77.41935484
290	73.05936073
309	71.5625
427	69.24398625
329	69.05405405
475	69.05405405
240	68.86227545
428	68.08080808
340	65.63253335
369	65.06849315
296	64.93506494
345	63.2183908
425	63.19018405
298	61.42156863
375	61.06481481
347	59.78554558
336.55	59.04761905
231	57.61821366
370	54.88095238
349.25	51.38528139
291	51.00463679
349.25	50.42763158
361.95	50.42763158
306	50.07974482
306	50
450	48.7483531
275	46.56140351
352.425	45.06849315
410	44.32494279
386	43.40909091
335	40.15840651
403	39.95535714
358	39.53875106
349	39.1011236
337	39.03070948
450	38.23467797
312	38.12356979
344	38.03970223
301	37.5
334	36.06557377
318	36.00973236
305	35.25641026
299	34.84195402
352	34.02489627
336.55	33.50564097
254	33.29764454
405	32.25806452
300	31.5755627
420	31.41361257
400.05	31.27208481
301	31.07266436
421	29.98266898
290	29.85347985
305	29.19656045
292	28.48635236
325	27.76831346
239	27.65957447
287	26.88172043
367	26.23906706
356	26.2345679
350	26.0707635
302	25.93896714
417	25.45357987
342	24.85074627
265	24.77763659
352	23.81028112
482	23.56687898
280	23.53689567
378	23.10756972
385	23
349	22.77227723
347	22.05240175
428	21.7921147
370	21.64179104
306	21.44808743
381	21.31147541
379	20.95588235
340	20.63241107
333	20.40816327
333	19.52681388
460	19.23076923
369	19.01176408
426	18.7007874
313	17.73631841
390	17.70555184
330	17.43902439
273	17.00680272
301	16.85082873
296	16.66666667
326	16.64145234
475	16.47834275
281	16.42335766
381	16.05388273
310	15.71125265
336	15.38461538
345	14.89361702
285	14.84716157
417	14.77272727
300	14.2037037
417	13.62162162
294	13.53965184
364	13.40490798
360	13.06715064
327.025	12.92699872
436	12.82051282
332	12.72264631
379	12.72264631
335	12.61462206
276.225	12.58064516
450	12.42236025
259	12.38095238
346.075	12.37922646
382	12.3783032
442	12.04188482
369	12.03703704
355	11.99742031
358	11.91709845
349	11.875
294	11.81556196
418	11.71171171
409	11.64548495
