Lon Lat N
-85.74845 29.16303333 4902
-84.06 26.59 10491
-84.38 28.35 6706
-85.57 28.49 6297
-84.0049 25.1766 13676
-84.0174 27.2179 9098
-85.0801 28.5497 6102
-83.1945 26.5334 10500
-84.383 28.066 7303
-83.388 28.0284 7313
-83.4 25.49 12886
-82.875655 24.62913 14682
-88.87021667 29.20453333 4672
-93.58 28.09 6815
-91.11 28.02 7237
-93.3249 28.0271 7016
-89.55 28.85 5462
-90.47 28.31 6647
-92.41933333 28.60716667 5832
-91.5594 28.0356 7233
-90.1612 28.2098 6849
-90.0945 28.2916 6650
-90.0947 28.2757 6650
-84.292458 28.735411 5712
-91.06963 19.62733 25742
-96.633 25.55 11957
-97.301 24.083 15133
-97.4 22.383 18911
-97.45 22.33 19110
-96.45623333 19.89233333 24690
-96.283 19.9 24692
-95.716 19.166 26290
-94.466 18.61 27696
-92.4002 20.83126667 22942
-91.50273333 22.24951667 19967
-90.11301667 22.66201667 19186
-92.33093333 19.38703333 26127
-95.58590278 19.038175 26689
-88.3091 29.2741 4678
-85.95038333 30.18888333 2512
-88.1898 29.3853 4281
-85.92503333 30.18776667 2512
-85.86331667 30.0405 2911
-85.86706667 30.0542 2911
-88.1684 29.1298 4878
-85.99526667 29.93878333 3108
-86.00725 29.92638333 3108
-86.00766667 30.04103333 2909
-86.04036667 30.01006667 2909
-85.9 30.1 2711
-85.93605 30.08645 2910
-88.21 29.23 4679
-88.867 29.167 4871
-86.31 29.46 4299
-86.0545 29.5412 4103
-87.5634 29.4763 4088
-86.1708 29.4183 4301
-86.21325 29.95316667 3106
-88.14478333 29.81848333 3486
-88.41076667 29.97131667 3085
-88.03278333 29.74013333 3487
-88.10595 29.84183333 3287
-88.48523333 30.11116667 2686
-88.51275 29.7673 3482
-88.4696 30.04696667 2885
-88.13068333 29.50081667 4083
-88.14063333 29.50448333 4083
-88.07263333 29.46565 4083
-88.48358333 29.68348333 3681
-88.07403333 29.42431667 4282
-87.233 29.85 3295
-88.076 29.5105 4083
-87.117 29.5201 4093
-96.947467 27.3532 7975
-96.36 26.26 10567
-96.4279 27.1506 8577
-96.47 26.55 9770
-94.53 28.01 6805
-96.98 26.3795 10163
-95.145 28.63166667 5407
-97.0765 27.38183333 7974
-95.0885 28.77283333 5010
-95.086 28.8155 5010
-97.027 26.085 10759
-96.86183333 26.057 10761
-97.1 26.32133333 10162
-97.31 27.16816667 8369
-97.06466667 27.26333333 8173
-96.70066667 27.17783333 8375
-96.94333333 27.2385 8174
-94.42 28.32 6210
-94.03 28.09 6810
-95.4538 27.4599 7990
-88.891393336 23.164933336 18004
-87.669770002 23.667850002 17022
-86.448146668 24.170766668 15840
-85.226523334 24.673683334 14659
-91.557276665 19.371792165 26334
-96.967 24.8165 13545
-97.3505 23.233 17121
-97.1187444433333 20.7048888866667 22694
-96.7874888866667 21.5174444433333 20907
-93.398466665 18.998516665 26911
-91.951466665 21.54039167 21355
-92.365566665 20.10915 24534
-90.807875 22.45576667 19576
